Character,Simulation Wins (%),Markov Wins (%),Diff (Markov - Sim),Average Wins (%)
Medusa,4.62,1.91,2.71,3.26
Sherlock Holmes,4.4,1.9,2.5,3.15
Elektra,3.65,1.82,1.83,2.74
Sun Wukong,3.59,1.82,1.77,2.7
Golden Bat,3.37,1.81,1.56,2.59
T. Rex,3.34,1.82,1.52,2.58
Luke Cage,3.23,1.81,1.42,2.52
Houdini,3.25,1.8,1.45,2.52
Bigfoot,2.72,1.75,0.97,2.24
Yennenga,2.55,1.75,0.8,2.15
Achilles,2.46,1.73,0.73,2.09
Dr. Jill Trent,2.46,1.71,0.75,2.08
Doctor Strange,2.46,1.71,0.75,2.08
Nikola Tesla,2.32,1.72,0.6,2.02
Raptors,2.06,1.7,0.36,1.88
She-Hulk,2.07,1.68,0.39,1.88
Eredin,2.02,1.68,0.34,1.85
Triss,1.89,1.64,0.25,1.76
Ciri,1.79,1.64,0.15,1.72
Chupacabra,1.73,1.61,0.12,1.67
Squirrel Girl,1.6,1.62,0.02,1.61
Little Red Riding Hood,1.57,1.62,0.05,1.6
Sinbad,1.58,1.61,0.03,1.6
Pandora,1.52,1.59,0.07,1.56
Blackbeard,1.51,1.59,0.08,1.55
Cloak & Dagger,1.5,1.57,0.07,1.54
Buffy Xander,1.49,1.59,0.1,1.54
Loki,1.43,1.58,0.15,1.5
Tomoe Gozen,1.36,1.57,0.21,1.46
Oda Nobunaga,1.36,1.57,0.21,1.46
Moon Knight,1.27,1.57,0.3,1.42
Annie Christmas,1.27,1.56,0.29,1.42
Bruce Lee,1.27,1.55,0.28,1.41
Dracula,1.26,1.56,0.3,1.41
Spike,1.26,1.54,0.28,1.4
Ancient Leshen,1.22,1.54,0.32,1.38
Geralt of Rivia,1.23,1.53,0.3,1.38
Deadpool,1.17,1.54,0.37,1.36
Angel,1.14,1.52,0.38,1.33
InGen,1.06,1.52,0.46,1.29
Buffy Giles,1.05,1.5,0.45,1.27
Black Panther,1.01,1.5,0.49,1.25
Alice,1.0,1.5,0.5,1.25
Willow,0.99,1.48,0.49,1.23
The Wayward Sisters,0.96,1.47,0.51,1.21
Titania,0.92,1.49,0.57,1.2
Shakespeare,0.9,1.47,0.57,1.18
Dr. Sattler,0.9,1.47,0.57,1.18
Daredevil,0.8,1.44,0.64,1.12
Spider-Man,0.81,1.44,0.63,1.12
The Genie,0.69,1.41,0.72,1.05
Jekyll & Hyde,0.7,1.4,0.7,1.05
Black Widow,0.63,1.39,0.76,1.01
Ms. Marvel,0.61,1.38,0.77,0.99
Winter Soldier,0.58,1.38,0.8,0.98
Bloody Mary,0.59,1.37,0.78,0.98
Ghost Rider,0.58,1.36,0.78,0.97
Beowulf,0.56,1.38,0.82,0.97
Hamlet,0.56,1.35,0.79,0.96
Philippa,0.52,1.34,0.82,0.93
Bullseye,0.48,1.32,0.84,0.9
Robin Hood,0.44,1.32,0.88,0.88
Invisible Man,0.36,1.28,0.92,0.82
King Arthur,0.28,1.23,0.95,0.76
