category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Little Red Riding Hood,Loki,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,0,84,29,2,0,37,40,0,166,0,50,75,2,28,66,5,0,9,0,56,0,0,33,4,0,118,1,28,64,48,93,34,25,32,26,68,10,128,61,25,0,2,7,0,70,0,170,87,92,6,76,22,0,7,36,99,0,37,90,22,98,3,1,4,142,114,58,17,27,92,15,2,28,37,262
Alice,84,0,1,1,0,72,74,0,32,0,49,35,1,16,62,3,0,4,0,31,0,0,6,19,0,27,9,2,16,67,40,3,4,14,29,22,19,19,35,19,0,18,31,0,61,0,67,39,78,22,9,6,0,2,28,53,0,27,16,8,61,3,1,3,23,91,33,6,10,22,0,4,7,2,29
Ancient Leshen,29,1,0,1,0,9,1,0,17,0,3,16,2,4,3,1,0,0,0,2,0,2,53,0,0,10,1,5,32,0,22,2,40,57,2,7,1,17,15,1,0,0,0,0,27,0,34,16,7,1,19,0,0,31,29,1,0,7,7,5,16,4,0,1,7,17,25,11,30,35,2,0,6,55,14
Angel,2,1,1,0,0,0,1,0,9,0,0,0,0,5,4,7,0,5,0,6,0,0,1,3,0,1,11,0,1,1,3,0,0,0,3,1,1,0,1,9,0,11,16,0,2,0,20,0,1,0,3,3,0,2,4,8,0,2,0,3,3,1,7,6,0,0,1,1,0,1,0,6,0,0,1
Angel - Alt 1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annie Christmas,37,72,9,0,0,0,27,0,25,0,60,36,0,4,17,3,0,3,0,19,0,0,2,7,0,15,0,6,87,7,70,1,6,12,18,42,34,34,16,6,0,4,5,0,19,0,54,26,35,9,51,0,0,4,28,25,0,42,9,17,43,5,3,2,10,20,28,15,35,31,1,0,14,3,20
Beowulf,40,74,1,1,0,27,0,0,28,0,20,17,0,26,37,3,0,6,0,30,0,0,0,13,0,25,1,2,9,23,50,6,1,7,26,1,8,26,37,13,0,17,16,0,48,0,54,18,43,7,1,3,0,0,13,38,0,11,6,14,22,5,2,2,10,21,26,1,1,12,0,1,6,1,13
Beowulf - Alt 1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bigfoot,166,32,17,9,0,25,28,0,0,0,27,24,1,48,26,2,0,4,0,11,0,0,23,3,0,50,1,27,141,10,104,13,15,11,22,284,3,112,78,20,0,14,17,0,137,2,100,180,106,7,98,2,0,2,40,61,0,3,99,40,71,7,1,3,93,83,36,17,6,55,5,3,22,22,213
Bigfoot - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
