category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Little Red Riding Hood,Loki,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Achilles,-2,25,52,0,-2,41,30,-2,54,-2,32,43,50,29,33,40,-2,11,-2,48,-2,-2,52,0,-2,31,100,54,47,44,49,82,60,34,15,53,30,45,89,52,-2,0,57,-2,40,-2,42,84,45,0,41,23,-2,29,39,40,-2,22,43,73,38,33,0,25,78,41,16,35,37,33,53,50,25,43,58
Alice,75,-2,0,0,-2,64,41,-2,69,-2,47,49,0,31,42,33,-2,25,-2,35,-2,-2,83,37,-2,44,11,100,50,51,68,100,100,50,62,45,42,74,74,63,-2,50,29,-2,41,-2,55,74,55,27,78,50,-2,50,64,43,-2,59,44,63,46,100,0,33,91,45,42,33,50,50,-2,0,43,100,66
Ancient Leshen,48,100,-2,0,-2,33,0,-2,35,-2,67,38,100,50,67,100,-2,-2,-2,100,-2,50,43,-2,-2,70,0,60,41,-2,36,100,45,58,50,57,100,82,20,100,-2,-2,-2,-2,59,-2,62,50,29,100,79,-2,-2,55,66,100,-2,71,29,20,38,50,-2,0,57,94,48,73,50,57,50,-2,50,55,86
Angel,100,100,100,-2,-2,-2,100,-2,44,-2,-2,-2,-2,80,100,71,-2,80,-2,83,-2,-2,100,67,-2,0,64,-2,100,100,67,-2,-2,-2,67,100,0,-2,100,44,-2,73,56,-2,0,-2,55,-2,0,-2,33,67,-2,50,75,88,-2,50,-2,67,100,100,43,50,-2,-2,100,0,-2,100,-2,50,-2,-2,100
Angel - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Annie Christmas,59,36,67,-2,-2,-2,52,-2,52,-2,62,31,-2,25,29,33,-2,33,-2,37,-2,-2,50,14,-2,40,-2,50,70,57,59,100,83,42,39,50,26,74,75,67,-2,25,0,-2,26,-2,35,69,34,22,61,-2,-2,25,71,20,-2,40,67,76,49,40,0,50,90,40,61,60,57,35,0,-2,14,100,70
Beowulf,70,59,100,0,-2,48,-2,-2,57,-2,85,41,-2,50,54,0,-2,33,-2,30,-2,-2,-2,31,-2,72,100,100,78,48,28,100,100,57,31,100,13,58,76,46,-2,59,38,-2,63,-2,56,89,63,71,100,33,-2,-2,85,50,-2,27,67,79,86,20,50,0,80,71,31,0,100,58,-2,0,67,100,85
Beowulf - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50,-2,-2,-2,0,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2
Bigfoot,46,31,65,56,-2,48,43,-2,-2,-2,33,13,0,46,23,50,-2,25,-2,18,-2,-2,61,100,-2,8,0,59,62,0,53,92,60,36,45,55,33,36,62,30,-2,14,18,-2,53,100,26,67,53,14,32,0,-2,0,25,31,-2,33,46,78,24,43,0,33,83,39,14,29,17,35,60,0,18,59,62
Bigfoot - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,40,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
